书名,评分,作者/出版信息,出版年份,短评总赞,短简介,链接
浪潮之巅,9.0,吴军 / 电子工业出版社 / 2011-8 / 55.00元,2011.0,1593,了解IT领域的入门读物,https://book.douban.com/subject/6709783/
少年凯歌,9.3,人民文学出版社 / 2001-6 / 10.00元,2001.0,6052,,https://book.douban.com/subject/1091203/
人生的枷锁,9.1,[英] 毛姆 / 张柏然 / 上海译文出版社 / 2007-3 / 32.00元,2007.0,4113,在混沌纷扰的生活漩流中，寻求人生的真谛,https://book.douban.com/subject/2035171/
受戒: 汪曾祺自选集,9.3,汪曾祺 / 漓江出版社 / 1987-10 / 3.95元,1987.0,2879,江南乡镇民间生活，健康淳朴的人性,https://book.douban.com/subject/1760432/
失明症漫记,9.1,[葡] 若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50元,2014.0,4505,失明症迅速蔓延，整个城市陷入一场空前的灾难,https://book.douban.com/subject/20428302/
我们仨,8.8,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,2003.0,13113,,https://book.douban.com/subject/1023045/
爱你就像爱生命,8.8,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,2008.0,13118,王小波与李银河的两地书,https://book.douban.com/subject/3071717/
茶馆,9.2,老舍 / 人民文学出版社 / 2002-1 / 9.80元,2002.0,3112,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,https://book.douban.com/subject/1036613/
昨日的世界: 一个欧洲人的回忆,9.4,[奥] 斯特凡·茨威格 / 徐友敬 / 上海译文出版社 / 2018-7 / 49.00元,2018.0,4840,,https://book.douban.com/subject/27615361/
巨人的陨落: 世纪三部曲,8.9,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / CNY 129.80,2016.0,8993,五个家族，一场战争,https://book.douban.com/subject/26698660/
人生的智慧,9.2,(德)叔本华 / 韦启昌 / 上海人民出版社 / 2008-10-01 / 28.00元,2008.0,9162,对世俗、实用问题深刻而透彻的讨论,https://book.douban.com/subject/3261600/
看不见的城市,9.0,[意] 伊塔洛·卡尔维诺 / 张密 / 译林出版社 / 2012-4 / 25.00元,2012.0,5045,,https://book.douban.com/subject/10555509/
海子的诗,9.0,海子 / 人民文学出版社 / 1999-04 / 15.40,1999.0,2609,,https://book.douban.com/subject/1011754/
飞鸟集,8.9,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,2004.0,1034,一个淡泊清透的世界,https://book.douban.com/subject/1058661/
教父,9.0,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,1997.0,730,“教父三部曲”电影原著,https://book.douban.com/subject/1092335/
面纱,9.0,[英] 威廉·萨默塞特·毛姆 / 于大卫 / 江西人民出版社 / 2016-4-1 / 39.8元,2016.0,4548,,https://book.douban.com/subject/26757680/
鹿鼎记,8.9,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,2008.0,1514,武侠的解构，流氓的狂欢,https://book.douban.com/subject/1212893/
檀香刑,9.3,莫言 / 浙江文艺出版社 / 2017-1 / 56.00元,2017.0,7376,,https://book.douban.com/subject/26905337/
人间草木,9.2,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,2005.0,4640,我就是要这样香，香得痛痛快快,https://book.douban.com/subject/1253310/
陆犯焉识,8.9,严歌苓 / 作家出版社 / 2011-10 / 35.00元,2011.0,6694,翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/
13 67: 陳浩基作品2,9.1,陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350,2014.0,1963,,https://book.douban.com/subject/25897884/
额尔古纳河右岸,8.9,迟子建 / 人民文学出版社 / 2019-6-1 / 32.00元,2019.0,4793,,https://book.douban.com/subject/34432750/
我的天才女友: 那不勒斯四部曲1,8.8,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,2017.0,11094,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,https://book.douban.com/subject/26878124/
边城,8.7,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,2002.0,10562,一切充满了善，然而到处是不凑巧,https://book.douban.com/subject/1057244/
十万个为什么,9.2,少年儿童出版社 / 1962 / 30.00元,1962.0,560,,https://book.douban.com/subject/2160556/
克莱因壶,8.8,[日] 冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,2019.0,4530,,https://book.douban.com/subject/33658616/
斯通纳,8.8,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,2016.0,8985,即使不能拥有完美的生活，所幸追求过完整的自我,https://book.douban.com/subject/26425831/
大明王朝1566,9.5,刘和平 / 花城出版社 / 2016-7 / 88.00元,2016.0,2138,,https://book.douban.com/subject/26925171/
地下室手记,9.2,[俄] 陀思妥耶夫斯基 / 曾思艺 / 浙江文艺出版社 / 2020-5 / 39.80元,2020.0,9128,,https://book.douban.com/subject/34990839/
梦里花落知多少,8.8,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,2007.0,735,哀而不伤,https://book.douban.com/subject/2070844/
时间简史: 插图本,8.9,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,2010.0,4673,探索时间和空间的核心秘密,https://book.douban.com/subject/1034282/
2001：太空漫游: 《太空漫游四部曲》第1部,9.3,[英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-4-10 / 62.00元,2019.0,2430,,https://book.douban.com/subject/30471298/
安娜·卡列尼娜,9.2,[俄] 列夫·托尔斯泰 / 草婴 / 上海文艺出版社 / 2007-8 / 37.00元,2007.0,8494,,https://book.douban.com/subject/2253380/
金色梦乡,9.0,[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,2010.0,2743,伊坂幸太郎代表作,https://book.douban.com/subject/5038409/
王尔德童话,9.1,[英] 王尔德 / 王林 / 译林出版社 / 2003-6 / 6.00元,2003.0,765,一颗纯美纯善、永难泯灭的童心,https://book.douban.com/subject/1119839/
一句顶一万句,8.8,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,2009.0,20433,一句胜过千年,https://book.douban.com/subject/3633461/
小径分岔的花园,8.9,[阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00,2015.0,7755,一个谜语，谜底正是时间,https://book.douban.com/subject/25796120/
这些人，那些事,8.8,吴念真 / 译林出版社 / 2011-9 / 28.00元,2011.0,1734,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
绿毛水怪,9.1,王小波 / 时代文艺出版社 / 2009-1 / 30.00元,2009.0,2942,我们好象在池塘的水底，从一个月亮走向另一个月亮,https://book.douban.com/subject/3518332/
故事: 材质·结构·风格和银幕剧作的原理,9.2,[美] 罗伯特·麦基 / 周铁东 / 天津人民出版社 / 2014-9 / 68.00元,2014.0,4717,材质、结构、风格和银幕剧作的原理,https://book.douban.com/subject/25976544/
强风吹拂,9.0,三浦紫苑 / 林佩瑾 / 广西师范大学出版社 / 2015-1-1 / 39.00元,2015.0,2995,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://book.douban.com/subject/26210487/
阿勒泰的角落,9.1,李娟 / 万卷出版公司 / 2010-6 / 25.00元,2010.0,1717,白雪和阳光，青草和白桦林,https://book.douban.com/subject/4881850/
长日将尽,8.9,[英] 石黑一雄 / 冯涛 / 上海译文出版社 / 2018-5 / 48,2018.0,5439,,https://book.douban.com/subject/30142261/
